,area_type,availability,total_sqft,bath,price,bhk
2072,Built-up  Area,1.0,1100.0,2.0,55.0,2.0
2073,Super built-up  Area,1.0,4750.0,5.0,600.0,4.0
2074,Built-up  Area,1.0,1285.0,2.0,68.0,3.0
2075,Built-up  Area,1.0,1150.0,2.0,80.0,2.0
2076,Super built-up  Area,1.0,1430.0,2.0,56.0,3.0
2077,Super built-up  Area,1.0,1350.0,2.0,62.0,3.0
2078,Plot  Area,1.0,1350.0,3.0,195.0,3.0
2079,Built-up  Area,1.0,1185.0,2.0,65.0,2.0
2080,Super built-up  Area,1.0,1760.0,3.0,67.0,3.0
2081,Plot  Area,1.0,2400.0,5.0,350.0,4.0
2082,Super built-up  Area,0.0,900.0,2.0,41.0,2.0
2083,Super built-up  Area,0.0,1297.0,2.0,105.0,2.0
2084,Super built-up  Area,1.0,1840.0,3.0,155.0,3.0
2085,Built-up  Area,1.0,950.0,2.0,50.79,2.0
2086,Plot  Area,1.0,1200.0,4.0,70.0,5.0
2087,Carpet  Area,1.0,950.0,2.0,52.0,2.0
2088,Super built-up  Area,1.0,1277.5,2.0,95.815,2.0
2089,Super built-up  Area,0.0,1571.0,3.0,89.0,3.0
2090,Super built-up  Area,1.0,1031.0,2.0,55.0,2.0
2091,Super built-up  Area,0.0,1485.0,2.0,90.0,2.0
2092,Super built-up  Area,0.0,1109.0,2.0,60.0,2.0
2093,Super built-up  Area,1.0,2200.0,3.0,180.0,3.0
2094,Super built-up  Area,0.0,950.0,1.0,50.0,1.0
2095,Plot  Area,1.0,1200.0,2.0,150.0,3.0
2096,Super built-up  Area,0.0,1161.0,2.0,55.15,2.0
2097,Super built-up  Area,1.0,2350.0,3.0,300.0,3.0
2098,Super built-up  Area,0.0,1003.0,2.0,40.6,2.0
2099,Plot  Area,1.0,1350.0,2.0,185.0,2.0
2100,Super built-up  Area,0.0,1080.0,2.0,37.0,2.0
2101,Super built-up  Area,1.0,1255.0,2.0,73.0,2.0
2102,Super built-up  Area,1.0,1250.0,2.0,60.0,2.0
2103,Plot  Area,1.0,1700.0,4.0,152.0,4.0
2104,Plot  Area,1.0,1200.0,2.0,66.0,3.0
2105,Built-up  Area,1.0,824.0,2.0,60.0,2.0
2106,Super built-up  Area,1.0,1875.0,3.0,167.0,3.0
2107,Built-up  Area,0.0,1320.0,2.0,38.12,3.0
2108,Plot  Area,1.0,9600.0,5.0,550.0,5.0
2109,Super built-up  Area,1.0,1330.0,2.0,47.0,3.0
2110,Super built-up  Area,1.0,1220.0,3.0,56.0,3.0
2111,Super built-up  Area,0.0,1111.0,3.0,50.0,3.0
2112,Super built-up  Area,1.0,1197.0,2.0,47.88,2.0
2113,Super built-up  Area,1.0,2519.0,5.0,185.0,4.0
2114,Super built-up  Area,0.0,1340.0,2.0,100.0,3.0
2115,Plot  Area,1.0,1450.0,3.0,132.0,4.0
2116,Super built-up  Area,0.0,1837.0,3.0,145.0,3.0
2117,Plot  Area,1.0,1200.0,4.0,245.0,4.0
2118,Super built-up  Area,1.0,1238.0,2.0,55.0,2.0
2119,Super built-up  Area,1.0,1405.0,2.0,59.01,3.0
2120,Super built-up  Area,1.0,1690.0,3.0,80.0,4.0
2121,Built-up  Area,1.0,1620.0,2.0,110.0,3.0
2122,Super built-up  Area,1.0,1673.0,3.0,115.0,3.0
2123,Plot  Area,1.0,1090.0,2.0,58.0,2.0
2124,Super built-up  Area,1.0,1112.0,2.0,40.0,2.0
2125,Super built-up  Area,1.0,1385.0,2.0,66.65,3.0
2126,Super built-up  Area,1.0,545.0,1.0,27.0,2.0
2127,Super built-up  Area,1.0,985.0,2.0,58.0,2.0
2128,Super built-up  Area,0.0,825.0,1.0,36.29,1.0
2129,Super built-up  Area,1.0,1080.0,2.0,37.8,2.0
2130,Super built-up  Area,0.0,1430.0,2.0,97.52,2.0
2131,Super built-up  Area,1.0,1050.0,2.0,43.0,2.0
2132,Plot  Area,1.0,2000.0,4.0,139.0,4.0
2133,Built-up  Area,1.0,4800.0,4.0,190.0,4.0
2134,Built-up  Area,1.0,1533.0,3.0,115.0,3.0
2135,Plot  Area,1.0,2800.0,3.0,500.0,4.0
2136,Super built-up  Area,1.0,2610.0,3.0,399.0,3.0
2137,Super built-up  Area,1.0,1750.0,3.0,150.0,3.0
2138,Plot  Area,1.0,1200.0,2.0,66.0,3.0
2139,Super built-up  Area,1.0,1352.0,2.0,87.5,2.0
2140,Super built-up  Area,1.0,1754.0,3.0,125.0,3.0
2141,Built-up  Area,1.0,1560.0,3.0,85.0,3.0
2142,Super built-up  Area,0.0,3012.0,6.0,268.0,4.0
2143,Super built-up  Area,1.0,3584.0,4.0,199.0,4.0
2144,Super built-up  Area,1.0,1470.0,2.0,90.0,3.0
2145,Built-up  Area,1.0,1035.0,2.0,45.0,2.0
2146,Plot  Area,1.0,2400.0,5.0,329.0,4.0
2147,Built-up  Area,1.0,1160.0,2.0,52.0,2.0
2148,Super built-up  Area,1.0,1100.0,2.0,52.0,2.0
2149,Super built-up  Area,1.0,1170.0,2.0,38.0,2.0
2150,Super built-up  Area,0.0,595.0,1.0,31.83,1.0
2151,Super built-up  Area,1.0,1650.0,3.0,110.0,3.0
2152,Super built-up  Area,1.0,1875.0,2.0,235.0,3.0
2153,Super built-up  Area,1.0,800.0,4.0,80.0,4.0
2154,Super built-up  Area,1.0,1375.0,2.0,48.06,3.0
2155,Super built-up  Area,0.0,1235.0,2.0,46.8,2.0
2156,Super built-up  Area,1.0,750.0,1.0,25.0,1.0
2157,Built-up  Area,1.0,1400.0,3.0,115.0,3.0
2158,Super built-up  Area,1.0,1270.0,2.0,50.79,3.0
2159,Super built-up  Area,0.0,1105.0,2.0,51.0,2.0
2160,Super built-up  Area,1.0,1375.0,2.0,85.0,3.0
2161,Plot  Area,1.0,2168.0,4.0,95.0,4.0
2162,Built-up  Area,1.0,1200.0,8.0,90.0,8.0
2163,Super built-up  Area,1.0,1065.0,2.0,40.84,2.0
2164,Plot  Area,1.0,3800.0,3.0,580.0,3.0
2165,Plot  Area,1.0,3125.0,9.0,350.0,9.0
2166,Super built-up  Area,1.0,825.0,1.0,45.0,1.0
2167,Built-up  Area,1.0,1095.0,2.0,40.0,2.0
2168,Plot  Area,1.0,720.0,3.0,65.0,3.0
2169,Super built-up  Area,0.0,1440.0,2.0,60.33,3.0
2170,Super built-up  Area,1.0,870.0,2.0,39.5,2.0
2171,Super built-up  Area,1.0,1195.0,2.0,84.0,2.0
2172,Super built-up  Area,1.0,1200.0,2.0,49.5,2.0
2173,Super built-up  Area,1.0,1530.0,3.0,61.2,3.0
2174,Super built-up  Area,0.0,1708.0,2.0,90.5,3.0
2175,Super built-up  Area,1.0,975.0,2.0,43.0,2.0
2176,Built-up  Area,1.0,750.0,2.0,25.0,2.0
2177,Plot  Area,1.0,1200.0,8.0,190.0,8.0
2178,Super built-up  Area,0.0,1920.0,3.0,130.0,3.0
2179,Plot  Area,1.0,1200.0,5.0,240.0,6.0
2180,Super built-up  Area,0.0,1183.0,2.0,58.56,2.0
2181,Plot  Area,1.0,1140.0,4.0,90.0,4.0
2182,Super built-up  Area,1.0,1550.0,2.0,65.0,3.0
2183,Super built-up  Area,1.0,1110.0,2.0,53.0,2.0
2184,Plot  Area,1.0,1500.0,10.0,165.0,8.0
2185,Super built-up  Area,1.0,1105.0,2.0,38.67,2.0
2186,Plot  Area,1.0,1800.0,3.0,68.0,3.0
2187,Super built-up  Area,1.0,2800.0,4.0,200.0,5.0
2188,Super built-up  Area,0.0,1000.0,2.0,29.9,2.0
2189,Built-up  Area,1.0,1190.0,2.0,68.0,2.0
2190,Plot  Area,1.0,1350.0,4.0,200.0,4.0
2191,Super built-up  Area,0.0,3067.0,4.0,230.0,4.0
2192,Super built-up  Area,0.0,1929.0,4.0,103.0,3.0
2193,Built-up  Area,1.0,1525.0,3.0,100.0,3.0
2194,Super built-up  Area,1.0,1775.0,3.0,110.0,3.0
2195,Built-up  Area,1.0,1125.0,2.0,63.0,2.0
2196,Super built-up  Area,1.0,900.0,2.0,42.0,2.0
2197,Super built-up  Area,0.0,1155.0,2.0,58.0,2.0
2198,Built-up  Area,1.0,1200.0,4.0,75.0,4.0
2199,Super built-up  Area,1.0,1268.0,2.0,73.0,2.0
2200,Built-up  Area,1.0,1500.0,3.0,88.0,3.0
2201,Super built-up  Area,0.0,630.0,1.0,47.0,1.0
2202,Super built-up  Area,1.0,1525.0,3.0,65.0,3.0
2203,Super built-up  Area,1.0,1060.0,2.0,48.0,2.0
2204,Super built-up  Area,1.0,1687.0,3.0,127.0,3.0
2205,Super built-up  Area,1.0,1847.0,3.0,123.0,3.0
2206,Super built-up  Area,1.0,1410.0,2.0,53.0,3.0
2207,Super built-up  Area,1.0,1075.0,2.0,42.99,2.0
2208,Super built-up  Area,1.0,3526.0,4.0,492.0,4.0
2209,Built-up  Area,1.0,3000.0,3.0,338.0,3.0
2210,Built-up  Area,0.0,1500.0,2.0,143.0,3.0
2211,Built-up  Area,1.0,1010.0,2.0,46.0,2.0
2212,Super built-up  Area,0.0,1875.0,3.0,110.0,3.0
2213,Plot  Area,1.0,1200.0,6.0,137.0,5.0
2214,Super built-up  Area,0.0,983.0,2.0,50.6,2.0
2215,Super built-up  Area,1.0,1101.0,2.0,65.0,2.0
2216,Super built-up  Area,1.0,1140.0,2.0,76.0,2.0
2217,Super built-up  Area,1.0,1215.0,2.0,110.0,2.0
2218,Super built-up  Area,1.0,1007.0,2.0,42.0,2.0
2219,Super built-up  Area,1.0,2039.0,3.0,168.0,3.0
2220,Built-up  Area,1.0,1020.0,3.0,110.0,3.0
2221,Super built-up  Area,1.0,1198.0,2.0,84.0,2.0
2222,Built-up  Area,1.0,4000.0,4.0,520.0,4.0
2223,Plot  Area,1.0,1470.0,4.0,34.5,4.0
2224,Built-up  Area,1.0,1370.0,2.0,75.0,2.0
2225,Super built-up  Area,1.0,1316.0,2.0,55.5,2.0
2226,Super built-up  Area,1.0,1350.0,3.0,55.5,3.0
2227,Super built-up  Area,0.0,1050.0,2.0,43.0,2.0
2228,Carpet  Area,1.0,112876.0,3.0,47.405,3.0
2229,Super built-up  Area,1.0,921.0,2.0,34.0,2.0
2230,Super built-up  Area,1.0,1010.0,2.0,49.27,2.0
2231,Super built-up  Area,0.0,1015.0,2.0,43.0,2.0
2232,Plot  Area,1.0,1200.0,2.0,66.5,3.0
2233,Built-up  Area,1.0,1179.0,2.0,75.0,2.0
2234,Built-up  Area,1.0,1850.0,4.0,86.0,4.0
2235,Super built-up  Area,1.0,870.0,2.0,24.0,2.0
2236,Super built-up  Area,1.0,1605.0,3.0,85.0,3.0
2237,Plot  Area,1.0,2800.0,4.0,89.0,4.0
2238,Super built-up  Area,1.0,2475.0,4.0,320.0,3.0
2239,Plot  Area,1.0,3000.0,2.0,510.0,2.0
2240,Plot  Area,1.0,2400.0,7.0,110.0,6.0
2241,Super built-up  Area,1.0,1000.0,1.0,55.0,2.0
2242,Plot  Area,1.0,1200.0,2.0,80.0,2.0
2243,Plot  Area,1.0,1200.0,2.0,125.0,2.0
2244,Plot  Area,0.0,1200.0,2.0,66.0,2.0
2245,Built-up  Area,1.0,1200.0,2.0,50.0,2.0
2246,Super built-up  Area,1.0,1255.0,2.0,57.5,2.0
2247,Super built-up  Area,1.0,1085.0,2.0,30.38,2.0
2248,Super built-up  Area,0.0,1592.0,3.0,125.0,3.0
2249,Super built-up  Area,0.0,1313.0,2.0,58.27,2.0
2250,Super built-up  Area,0.0,1934.0,3.0,150.0,3.0
2251,Super built-up  Area,1.0,1200.0,2.0,49.5,2.0
2252,Super built-up  Area,1.0,3600.0,6.0,120.0,6.0
2253,Super built-up  Area,0.0,935.0,2.0,45.0,2.0
2254,Built-up  Area,1.0,877.0,2.0,30.0,2.0
2255,Super built-up  Area,1.0,936.0,2.0,42.0,2.0
2256,Super built-up  Area,1.0,1470.0,2.0,110.0,3.0
2257,Built-up  Area,1.0,1050.0,1.0,70.0,1.0
2258,Super built-up  Area,0.0,1232.0,2.0,69.61,2.0
2259,Super built-up  Area,1.0,2225.0,4.0,169.0,3.0
2260,Plot  Area,1.0,1200.0,2.0,80.0,3.0
2261,Super built-up  Area,1.0,1901.0,3.0,119.0,3.0
2262,Super built-up  Area,0.0,1819.0,3.0,100.0,3.0
2263,Super built-up  Area,1.0,1464.0,3.0,56.0,3.0
2264,Plot  Area,0.0,2400.0,,460.0,
2265,Super built-up  Area,1.0,3715.0,6.0,200.5,4.0
2266,Built-up  Area,1.0,5000.0,4.0,290.0,4.0
2267,Super built-up  Area,1.0,1200.0,4.0,169.0,4.0
2268,Super built-up  Area,1.0,1256.0,2.0,60.0,2.0
2269,Super built-up  Area,1.0,1100.0,2.0,44.0,2.0
2270,Plot  Area,1.0,4800.0,3.0,302.0,4.0
2271,Super built-up  Area,1.0,1435.0,3.0,70.0,3.0
2272,Super built-up  Area,1.0,3245.0,4.0,250.0,4.0
2273,Super built-up  Area,1.0,1845.0,4.0,110.0,3.0
2274,Plot  Area,1.0,2400.0,4.0,130.0,3.0
2275,Super built-up  Area,1.0,1140.0,2.0,46.0,2.0
2276,Super built-up  Area,0.0,1200.0,2.0,60.0,2.0
2277,Super built-up  Area,0.0,2254.0,3.0,170.0,3.0
2278,Super built-up  Area,1.0,1750.0,3.0,150.0,3.0
2279,Built-up  Area,1.0,1020.0,2.0,37.0,2.0
2280,Built-up  Area,1.0,515.0,1.0,25.0,1.0
2281,Super built-up  Area,1.0,1893.0,3.0,140.0,3.0
2282,Super built-up  Area,1.0,3025.0,3.0,500.0,3.0
2283,Built-up  Area,1.0,830.0,2.0,34.0,2.0
2284,Built-up  Area,1.0,600.0,2.0,36.5,2.0
2285,Super built-up  Area,1.0,1075.0,2.0,90.0,3.0
2286,Plot  Area,1.0,3200.0,4.0,1200.0,4.0
2287,Super built-up  Area,1.0,1200.0,2.0,78.0,2.0
2288,Super built-up  Area,0.0,1233.0,2.0,77.65,2.0
2289,Super built-up  Area,1.0,1255.0,2.0,65.26,2.0
2290,Super built-up  Area,1.0,1200.0,2.0,37.8,2.0
2291,Super built-up  Area,1.0,2145.0,3.0,175.0,3.0
2292,Built-up  Area,1.0,1500.0,5.0,85.0,5.0
2293,Built-up  Area,1.0,740.0,2.0,34.0,2.0
2294,Super built-up  Area,1.0,1250.0,3.0,48.0,3.0
2295,Super built-up  Area,1.0,1210.0,2.0,40.0,2.0
2296,Super built-up  Area,1.0,1525.0,2.0,60.0,3.0
2297,Built-up  Area,1.0,540.0,1.0,36.0,1.0
2298,Super built-up  Area,1.0,1240.0,2.0,84.0,3.0
2299,Super built-up  Area,1.0,1245.0,2.0,68.0,3.0
2300,Plot  Area,1.0,1865.0,3.0,350.0,3.0
2301,Super built-up  Area,0.0,1104.0,2.0,36.43,2.0
2302,Super built-up  Area,1.0,1075.0,2.0,35.99,3.0
2303,Built-up  Area,0.0,2200.0,2.0,55.0,2.0
2304,Super built-up  Area,1.0,1155.0,2.0,60.0,2.0
2305,Super built-up  Area,1.0,1520.0,2.0,62.0,2.0
2306,Super built-up  Area,1.0,3122.0,6.0,245.0,4.0
2307,Super built-up  Area,1.0,1290.0,2.0,85.0,2.0
2308,Built-up  Area,1.0,2300.0,3.0,80.0,3.0
2309,Built-up  Area,1.0,3000.0,4.0,200.0,4.0
2310,Super built-up  Area,1.0,36133.0,4.0,270.0,4.0
2311,Built-up  Area,1.0,400.0,1.0,14.0,1.0
2312,Super built-up  Area,1.0,1340.0,2.0,53.6,3.0
2313,Super built-up  Area,1.0,900.0,2.0,95.0,2.0
2314,Plot  Area,1.0,1800.0,4.0,324.0,6.0
2315,Super built-up  Area,1.0,987.0,2.0,49.0,2.0
2316,Super built-up  Area,1.0,1720.0,3.0,100.0,3.0
2317,Super built-up  Area,1.0,1040.0,2.0,50.0,2.0
2318,Built-up  Area,1.0,900.0,2.0,64.0,2.0
2319,Built-up  Area,1.0,1030.0,2.0,50.0,2.0
2320,Super built-up  Area,1.0,2556.0,3.0,133.0,3.0
2321,Super built-up  Area,1.0,1850.0,3.0,168.0,3.0
2322,Plot  Area,1.0,750.0,4.0,110.0,4.0
2323,Super built-up  Area,0.0,1028.0,2.0,31.86,2.0
2324,Super built-up  Area,1.0,1270.0,2.0,83.0,2.0
2325,Built-up  Area,0.0,1655.0,3.0,115.0,3.0
2326,Built-up  Area,1.0,940.0,2.0,40.0,2.0
2327,Super built-up  Area,1.0,1050.0,2.0,85.0,2.0
2328,Plot  Area,1.0,600.0,4.0,40.0,4.0
2329,Super built-up  Area,0.0,946.0,2.0,38.0,2.0
2330,Built-up  Area,1.0,1726.0,3.0,145.0,3.0
2331,Super built-up  Area,1.0,2121.0,4.0,253.0,3.0
2332,Super built-up  Area,1.0,1404.0,2.0,75.0,2.0
2333,Super built-up  Area,1.0,1525.0,2.0,48.0,3.0
2334,Super built-up  Area,1.0,1025.0,2.0,57.0,2.0
2335,Plot  Area,1.0,1575.0,4.0,150.0,5.0
2336,Built-up  Area,1.0,860.0,1.0,43.0,2.0
2337,Super built-up  Area,1.0,1223.0,2.0,42.81,3.0
2338,Super built-up  Area,1.0,3750.0,3.0,550.0,4.0
2339,Super built-up  Area,1.0,1197.0,2.0,47.8,2.0
2340,Super built-up  Area,1.0,1150.0,2.0,52.75,2.0
2341,Built-up  Area,1.0,4800.0,5.0,629.0,4.0
2342,Super built-up  Area,1.0,1040.0,2.0,46.0,2.0
2343,Super built-up  Area,0.0,1310.0,2.0,80.0,2.0
2344,Super built-up  Area,1.0,1788.0,3.0,98.34,3.0
2345,Super built-up  Area,1.0,1144.0,2.0,38.55,2.0
2346,Super built-up  Area,0.0,1070.0,2.0,39.0,2.0
2347,Super built-up  Area,1.0,1200.0,2.0,70.0,2.0
2348,Super built-up  Area,1.0,1862.0,3.0,120.0,3.0
2349,Plot  Area,1.0,1200.0,2.0,58.5,2.0
2350,Super built-up  Area,1.0,970.0,2.0,27.0,2.0
2351,Super built-up  Area,0.0,1646.0,3.0,79.5,3.0
2352,Super built-up  Area,1.0,4395.0,4.0,242.0,4.0
2353,Plot  Area,1.0,1200.0,4.0,100.0,5.0
2354,Super built-up  Area,0.0,1995.0,3.0,135.0,3.0
2355,Plot  Area,1.0,2400.0,4.0,450.0,4.0
2356,Super built-up  Area,0.0,1085.0,2.0,47.74,2.0
2357,Super built-up  Area,1.0,1139.0,2.0,56.8,2.0
2358,Super built-up  Area,1.0,1092.0,2.0,44.0,2.0
2359,Super built-up  Area,1.0,1767.0,3.0,98.0,3.0
2360,Built-up  Area,1.0,1700.0,3.0,80.0,3.0
2361,Super built-up  Area,1.0,1692.0,3.0,88.0,3.0
2362,Built-up  Area,1.0,1645.0,3.0,100.0,3.0
2363,Super built-up  Area,1.0,1345.0,2.0,57.0,3.0
2364,Super built-up  Area,1.0,1100.0,2.0,60.0,2.0
2365,Super built-up  Area,1.0,1408.0,3.0,62.0,3.0
2366,Plot  Area,1.0,2400.0,4.0,240.0,4.0
2367,Plot  Area,1.0,1920.0,4.0,200.0,4.0
2368,Plot  Area,1.0,6040.0,4.0,170.0,5.0
2369,Super built-up  Area,1.0,2072.0,4.0,150.0,3.0
2370,Super built-up  Area,1.0,1420.0,2.0,158.0,2.0
2371,Plot  Area,1.0,2040.0,3.0,137.0,3.0
2372,Super built-up  Area,1.0,1220.0,3.0,56.0,3.0
2373,Plot  Area,1.0,1200.0,4.0,145.0,4.0
2374,Super built-up  Area,1.0,1300.0,2.0,79.0,2.0
2375,Super built-up  Area,0.0,1150.0,2.0,39.0,2.0
2376,Super built-up  Area,1.0,1470.0,2.0,86.0,2.0
2377,Super built-up  Area,0.0,1063.0,2.0,31.9,2.0
2378,Super built-up  Area,1.0,1311.0,2.0,48.0,2.0
2379,Super built-up  Area,1.0,3500.0,4.0,350.0,4.0
2380,Plot  Area,1.0,600.0,2.0,100.0,4.0
2381,Super built-up  Area,1.0,1400.0,2.0,55.0,3.0
2382,Built-up  Area,0.0,2200.0,2.0,62.0,2.0
2383,Super built-up  Area,1.0,1430.0,2.0,56.0,3.0
2384,Built-up  Area,1.0,1060.0,2.0,55.0,2.0
2385,Built-up  Area,1.0,1000.0,2.0,110.0,3.0
2386,Super built-up  Area,1.0,1760.0,3.0,145.0,3.0
2387,Super built-up  Area,1.0,2010.0,3.0,92.0,3.0
2388,Super built-up  Area,1.0,1480.0,2.0,64.23,3.0
2389,Super built-up  Area,0.0,1230.0,2.0,43.5,3.0
2390,Super built-up  Area,1.0,1300.0,3.0,65.0,3.0
2391,Plot  Area,1.0,800.0,4.0,120.0,4.0
2392,Super built-up  Area,1.0,4850.0,6.0,385.0,4.0
2393,Super built-up  Area,1.0,1100.0,2.0,52.0,2.0
2394,Super built-up  Area,1.0,175212.0,3.0,116.0,3.0
2395,Super built-up  Area,1.0,957.0,2.0,46.9,2.0
2396,Super built-up  Area,0.0,790.5,1.0,41.9,1.0
2397,Built-up  Area,1.0,1942.0,3.0,102.0,3.0
2398,Built-up  Area,1.0,1000.0,2.0,53.0,2.0
2399,Super built-up  Area,1.0,668.0,1.0,36.85,1.0
2400,Plot  Area,1.0,3000.0,6.0,1000.0,5.0
2401,Plot  Area,1.0,600.0,2.0,80.0,3.0
2402,Super built-up  Area,1.0,1089.0,2.0,43.55,2.0
2403,Super built-up  Area,1.0,1800.0,3.0,90.0,3.0
2404,Super built-up  Area,1.0,960.0,2.0,18.0,1.0
2405,Super built-up  Area,1.0,1036.0,2.0,39.35,2.0
2406,Super built-up  Area,1.0,1583.0,3.0,105.0,3.0
2407,Built-up  Area,1.0,3300.0,4.0,150.0,4.0
2408,Super built-up  Area,1.0,1100.0,2.0,65.0,2.0
2409,Plot  Area,1.0,800.0,1.0,100.0,1.0
2410,Super built-up  Area,1.0,1246.0,2.0,65.0,2.0
2411,Super built-up  Area,1.0,850.0,2.0,28.0,2.0
2412,Super built-up  Area,1.0,1196.0,2.0,51.51,2.0
2413,Super built-up  Area,1.0,1697.0,3.0,114.0,3.0
2414,Built-up  Area,1.0,1000.0,2.0,64.0,2.0
2415,Super built-up  Area,1.0,1567.0,3.0,90.0,3.0
2416,Plot  Area,0.0,1200.0,1.0,36.0,2.0
2417,Plot  Area,1.0,3750.0,6.0,290.0,4.0
2418,Super built-up  Area,1.0,950.0,2.0,45.0,2.0
2419,Super built-up  Area,1.0,1022.0,2.0,52.0,2.0
2420,Super built-up  Area,1.0,1018.0,2.0,23.45,2.0
2421,Plot  Area,1.0,2000.0,3.0,25.0,4.0
2422,Super built-up  Area,1.0,1322.0,2.0,68.0,2.0
2423,Plot  Area,1.0,1800.0,4.0,145.0,4.0
2424,Super built-up  Area,1.0,1460.0,2.0,58.39,3.0
2425,Super built-up  Area,0.0,990.0,2.0,44.55,2.0
2426,Built-up  Area,1.0,2400.0,3.0,260.0,3.0
2427,Super built-up  Area,1.0,1635.0,2.0,85.0,3.0
2428,Super built-up  Area,1.0,3526.0,4.0,558.0,4.0
2429,Built-up  Area,1.0,3400.0,3.0,210.0,4.0
2430,Built-up  Area,1.0,2770.0,3.0,460.0,3.0
2431,Super built-up  Area,1.0,3035.0,5.0,200.0,4.0
2432,Super built-up  Area,1.0,1533.0,3.0,85.0,3.0
2433,Super built-up  Area,1.0,1720.0,3.0,134.0,3.0
2434,Super built-up  Area,1.0,2000.0,3.0,200.0,3.0
2435,Super built-up  Area,0.0,1185.0,2.0,75.84,2.0
2436,Super built-up  Area,0.0,900.0,2.0,27.0,2.0
2437,Built-up  Area,1.0,395.0,1.0,10.25,1.0
2438,Super built-up  Area,1.0,1031.0,2.0,56.35,2.0
2439,Plot  Area,1.0,2400.0,8.0,650.0,6.0
2440,Super built-up  Area,1.0,2650.0,4.0,240.0,4.0
2441,Plot  Area,1.0,2400.0,5.0,415.0,5.0
2442,Super built-up  Area,1.0,1330.0,2.0,46.55,3.0
2443,Super built-up  Area,1.0,1259.0,2.0,57.0,2.0
2444,Built-up  Area,1.0,1570.0,3.0,88.0,3.0
2445,Built-up  Area,1.0,1075.0,2.0,36.0,3.0
2446,Super built-up  Area,0.0,1216.0,2.0,79.0,2.0
2447,Super built-up  Area,1.0,1428.0,2.0,66.0,3.0
2448,Super built-up  Area,1.0,1160.0,2.0,40.59,2.0
2449,Plot  Area,0.0,600.0,2.0,110.0,3.0
2450,Super built-up  Area,1.0,1475.0,3.0,70.0,3.0
2451,Super built-up  Area,1.0,1754.0,3.0,135.0,3.0
2452,Super built-up  Area,0.0,1639.0,3.0,83.0,3.0
2453,Super built-up  Area,0.0,1804.0,3.0,102.0,3.0
2454,Plot  Area,0.0,1200.0,3.0,56.2,3.0
2455,Built-up  Area,1.0,1135.0,2.0,55.0,2.0
2456,Super built-up  Area,1.0,1260.0,2.0,46.62,2.0
2457,Plot  Area,1.0,1440.0,5.0,110.0,5.0
2458,Built-up  Area,1.0,2160.0,3.0,160.0,3.0
2459,Plot  Area,1.0,700.0,6.0,85.0,7.0
2460,Super built-up  Area,1.0,1220.0,2.0,59.5,2.0
2461,Plot  Area,1.0,1200.0,2.0,67.0,2.0
2462,Super built-up  Area,1.0,1300.0,2.0,65.0,2.0
2463,Super built-up  Area,1.0,605.0,1.0,29.0,1.0
2464,Plot  Area,1.0,1230.0,4.0,210.0,6.0
2465,Super built-up  Area,0.0,1444.0,2.0,75.97,2.0
2466,Built-up  Area,1.0,924.0,2.0,45.0,2.0
2467,Super built-up  Area,0.0,1000.0,2.0,30.0,2.0
2468,Plot  Area,1.0,600.0,4.0,95.0,4.0
2469,Plot  Area,1.0,1200.0,3.0,225.0,3.0
2470,Super built-up  Area,1.0,845.0,2.0,29.0,2.0
2471,Super built-up  Area,0.0,700.0,2.0,35.0,2.0
2472,Super built-up  Area,1.0,1187.0,2.0,58.0,2.0
2473,Super built-up  Area,1.0,1625.0,3.0,55.0,3.0
2474,Plot  Area,1.0,1200.0,2.0,83.0,2.0
2475,Super built-up  Area,1.0,145255.0,2.0,110.0,2.0
2476,Built-up  Area,1.0,2357.0,3.0,151.0,3.0
2477,Super built-up  Area,1.0,1200.0,2.0,49.5,2.0
2478,Super built-up  Area,1.0,1139.0,2.0,56.85,2.0
2479,Built-up  Area,1.0,600.0,1.0,97.5,1.0
2480,Super built-up  Area,1.0,1660.0,3.0,75.0,3.0
2481,Super built-up  Area,1.0,1170.0,2.0,105.0,2.0
2482,Super built-up  Area,1.0,1448.0,2.0,68.0,2.0
2483,Super built-up  Area,0.0,1762.0,3.0,110.0,3.0
2484,Super built-up  Area,1.0,1105.0,2.0,38.65,2.0
2485,Super built-up  Area,0.0,1825.0,3.0,105.0,3.0
2486,Super built-up  Area,0.0,296.0,1.0,22.89,1.0
2487,Plot  Area,1.0,1200.0,4.0,85.0,5.0
2488,Super built-up  Area,1.0,1185.0,2.0,43.0,2.0
2489,Built-up  Area,0.0,1320.0,2.0,38.12,3.0
2490,Super built-up  Area,1.0,1058.0,2.0,48.0,2.0
2491,Super built-up  Area,1.0,1220.0,2.0,60.0,2.0
2492,Super built-up  Area,0.0,925.0,2.0,25.0,2.0
2493,Super built-up  Area,0.0,1200.0,2.0,72.0,2.0
2494,Super built-up  Area,1.0,1160.0,2.0,40.6,3.0
2495,Plot  Area,1.0,600.0,4.0,72.0,3.0
2496,Super built-up  Area,0.0,1411.0,3.0,91.72,3.0
2497,Super built-up  Area,1.0,1550.0,3.0,78.0,3.0
2498,Super built-up  Area,1.0,3250.0,4.0,230.0,4.0
2499,Super built-up  Area,1.0,2475.0,4.0,130.0,3.0
2500,Super built-up  Area,0.0,318100.0,,260.5,4.0
2501,Super built-up  Area,0.0,2503.0,4.0,188.0,4.0
2502,Super built-up  Area,1.0,2524.0,5.0,190.0,4.0
2503,Super built-up  Area,1.0,1063.0,2.0,42.0,2.0
