,area_type,location,total_sqft,bath,price,bhk
1582,Super built-up  Area,Chandapura,778.0,2.0,25.29,2.0
1584,Super built-up  Area,Chandapura,950.0,2.0,25.65,2.0
1585,Plot  Area,Chandapura,1200.0,2.0,36.0,2.0
1586,Super built-up  Area,Chandapura,645.0,1.0,16.45,1.0
1587,Super built-up  Area,Chandapura,922.0,2.0,36.0,2.0
1589,Super built-up  Area,Chandapura,674.0,1.0,19.9,2.0
1594,Super built-up  Area,Chandapura,985.0,2.0,25.12,2.0
1596,Super built-up  Area,Chandapura,1025.0,2.0,27.68,2.0
1598,Super built-up  Area,Chandapura,1015.0,2.0,25.88,2.0
1599,Super built-up  Area,Chandapura,1345.0,2.0,39.5,3.0
1600,Super built-up  Area,Chandapura,1033.0,2.0,30.47,3.0
1601,Super built-up  Area,Chandapura,971.0,2.0,38.0,3.0
1602,Super built-up  Area,Chandapura,1015.0,2.0,25.88,2.0
1603,Built-up  Area,Chandapura,800.0,1.0,30.0,2.0
1605,Super built-up  Area,Chandapura,900.0,2.0,35.0,2.0
1606,Super built-up  Area,Chandapura,975.0,2.0,24.86,2.0
1607,Super built-up  Area,Chandapura,520.0,1.0,14.04,1.0
1610,Super built-up  Area,Chandapura,1323.0,2.0,42.0,3.0
1611,Super built-up  Area,Chandapura,410.0,1.0,10.0,1.0
1612,Super built-up  Area,Chandapura,985.0,2.0,25.12,2.0
1613,Super built-up  Area,Chandapura,645.0,1.0,16.45,1.0
1614,Super built-up  Area,Chandapura,645.0,1.0,16.45,1.0
1615,Plot  Area,Chandapura,1200.0,2.0,36.0,2.0
1616,Built-up  Area,Chandapura,740.0,1.0,22.0,2.0
1617,Super built-up  Area,Chandapura,876.0,2.0,28.47,2.0
1619,Super built-up  Area,Chandapura,520.0,1.0,14.04,1.0
1621,Super built-up  Area,Channasandra,1009.0,2.0,38.34,2.0
1622,Super built-up  Area,Channasandra,1065.0,2.0,35.0,2.0
1623,Super built-up  Area,Channasandra,1470.0,2.0,90.0,3.0
1624,Super built-up  Area,Channasandra,1115.0,2.0,33.45,2.0
1625,Super built-up  Area,Channasandra,1030.0,2.0,34.5,2.0
1626,Built-up  Area,Channasandra,4200.0,6.0,180.0,6.0
1627,Super built-up  Area,Channasandra,1115.0,2.0,40.0,2.0
1628,Plot  Area,Channasandra,1200.0,3.0,67.77,3.0
1629,Super built-up  Area,Channasandra,1104.0,2.0,35.5,2.0
1630,Super built-up  Area,Channasandra,1160.0,2.0,55.0,2.0
1631,Super built-up  Area,Channasandra,1050.0,2.0,41.0,2.0
1632,Super built-up  Area,Channasandra,1065.0,2.0,40.47,2.0
1634,Super built-up  Area,Channasandra,1070.0,2.0,38.0,2.0
1635,Super built-up  Area,Channasandra,1050.0,2.0,35.0,2.0
1636,Super built-up  Area,Channasandra,1093.0,2.0,34.0,2.0
1637,Built-up  Area,Channasandra,808.0,2.0,40.0,2.0
1638,Super built-up  Area,Channasandra,1010.0,2.0,36.0,2.0
1639,Super built-up  Area,Channasandra,1123.0,2.0,36.0,2.0
1640,Super built-up  Area,Channasandra,1000.0,2.0,35.0,2.0
1641,Plot  Area,Channasandra,1500.0,4.0,89.45,4.0
1642,Super built-up  Area,Channasandra,1330.0,2.0,51.83,3.0
1643,Super built-up  Area,Channasandra,1093.0,2.0,37.0,2.0
1644,Super built-up  Area,Channasandra,1115.0,2.0,35.8,2.0
1645,Plot  Area,Channasandra,1500.0,3.0,61.95,3.0
1647,Super built-up  Area,Channasandra,830.0,2.0,36.28,2.0
1648,Plot  Area,Channasandra,1200.0,3.0,67.77,3.0
1649,Super built-up  Area,Channasandra,1195.0,2.0,56.0,3.0
1650,Super built-up  Area,Channasandra,1175.0,2.0,38.0,2.0
1651,Plot  Area,Channasandra,1200.0,2.0,46.13,2.0
1652,Super built-up  Area,Channasandra,1065.0,2.0,36.0,2.0
1653,Super built-up  Area,Channasandra,1050.0,2.0,44.41,2.0
1654,Super built-up  Area,Channasandra,1010.0,2.0,32.0,2.0
1655,Plot  Area,Chikka Tirupathi,2600.0,5.0,120.0,4.0
1656,Plot  Area,Chikka Tirupathi,2325.0,4.0,120.0,4.0
1657,Plot  Area,Chikka Tirupathi,1808.0,4.0,80.27,3.0
1658,Plot  Area,Chikka Tirupathi,3297.0,3.0,135.0,3.0
1659,Plot  Area,Chikka Tirupathi,3500.0,5.0,150.0,4.0
1660,Plot  Area,Chikka Tirupathi,2646.0,3.0,99.0,3.0
1661,Built-up  Area,Chikka Tirupathi,2704.0,5.0,105.0,4.0
1662,Plot  Area,Chikka Tirupathi,2325.0,3.0,95.0,3.0
1663,Plot  Area,Chikka Tirupathi,2325.0,4.0,120.0,4.0
1664,Built-up  Area,Chikka Tirupathi,3250.0,4.0,136.0,4.0
1665,Plot  Area,Chikka Tirupathi,2665.0,5.0,125.0,4.0
1666,Built-up  Area,Chikkabanavar,950.0,2.0,40.0,2.0
1667,Plot  Area,Chikkabanavar,1600.0,2.0,80.0,3.0
1668,Super built-up  Area,Chikkabanavar,600.0,1.0,25.0,2.0
1669,Built-up  Area,Chikkabanavar,2460.0,7.0,80.0,4.0
1670,Built-up  Area,Chikkabanavar,2400.0,4.0,97.0,5.0
1671,Built-up  Area,Chikkabanavar,2000.0,4.0,65.0,5.0
1672,Super built-up  Area,Chikkabanavar,1067.0,2.0,38.0,2.0
1673,Super built-up  Area,Chikkabanavar,1320.0,2.0,46.0,3.0
1674,Built-up  Area,Chikkabanavar,4000.0,7.0,110.0,8.0
1676,Built-up  Area,Chikkalasandra,1100.0,2.0,50.0,2.0
1677,Super built-up  Area,Chikkalasandra,1208.0,2.0,49.0,2.0
1678,Carpet  Area,Chikkalasandra,875.0,2.0,52.8,2.0
1680,Built-up  Area,Chikkalasandra,1800.0,1.0,128.0,2.0
1681,Built-up  Area,Chikkalasandra,1070.0,2.0,50.0,2.0
1682,Super built-up  Area,Chikkalasandra,1230.0,2.0,48.0,2.0
1683,Built-up  Area,Chikkalasandra,1428.0,2.0,80.0,3.0
1684,Super built-up  Area,Chikkalasandra,1070.0,2.0,42.8,2.0
1688,Super built-up  Area,Chikkalasandra,1075.0,2.0,46.76,2.0
1691,Super built-up  Area,Chikkalasandra,1070.0,2.0,45.48,2.0
1692,Super built-up  Area,Chikkalasandra,1100.0,2.0,50.0,2.0
1695,Built-up  Area,Chikkalasandra,1224.0,2.0,45.0,2.0
1696,Super built-up  Area,Chikkalasandra,1090.0,2.0,47.42,2.0
1699,Built-up  Area,Chikkalasandra,1325.0,2.0,59.0,2.0
1700,Super built-up  Area,Chikkalasandra,1290.0,2.0,72.0,2.0
1703,Super built-up  Area,Choodasandra,1115.0,2.0,50.0,2.0
1704,Super built-up  Area,Choodasandra,1300.0,2.0,57.0,2.0
1705,Super built-up  Area,Choodasandra,1530.0,3.0,77.0,3.0
1708,Super built-up  Area,Choodasandra,1197.0,2.0,63.0,2.0
1709,Super built-up  Area,Choodasandra,1465.0,3.0,75.0,3.0
1710,Super built-up  Area,Choodasandra,1115.0,2.0,50.0,2.0
1711,Super built-up  Area,Choodasandra,1215.0,2.0,59.0,2.0
1712,Super built-up  Area,Choodasandra,1254.0,2.0,65.0,3.0
1713,Super built-up  Area,Choodasandra,1580.0,3.0,105.0,3.0
1714,Super built-up  Area,Choodasandra,725.0,2.0,36.0,2.0
1715,Built-up  Area,Choodasandra,2429.0,3.0,210.0,4.0
1717,Super built-up  Area,Choodasandra,1075.0,2.0,45.0,2.0
1718,Super built-up  Area,Choodasandra,1180.0,2.0,71.22,2.0
1719,Built-up  Area,Choodasandra,1140.0,2.0,62.0,2.0
1721,Super built-up  Area,Choodasandra,1560.0,3.0,78.0,3.0
1722,Built-up  Area,Choodasandra,1065.0,2.0,46.0,2.0
1723,Super built-up  Area,Choodasandra,1115.0,2.0,50.0,2.0
1725,Super built-up  Area,Choodasandra,1115.0,2.0,50.0,2.0
1726,Super built-up  Area,Cooke Town,3950.0,4.0,450.0,4.0
1727,Built-up  Area,Cooke Town,2388.0,4.0,239.0,3.0
1728,Super built-up  Area,Cooke Town,1710.0,2.0,200.0,2.0
1729,Super built-up  Area,Cooke Town,1310.0,2.0,111.0,2.0
1730,Super built-up  Area,Cooke Town,3900.0,5.0,415.0,4.0
1731,Super built-up  Area,Cooke Town,2560.0,4.0,310.0,3.0
1732,Plot  Area,Cooke Town,2600.0,3.0,375.0,3.0
1733,Super built-up  Area,Cooke Town,1100.0,2.0,90.0,2.0
1734,Super built-up  Area,Cooke Town,2300.0,3.0,250.0,3.0
1735,Super built-up  Area,Cox Town,1975.0,3.0,150.0,3.0
1736,Super built-up  Area,Cox Town,1650.0,3.0,100.0,3.0
1737,Super built-up  Area,Cox Town,1730.0,3.0,140.0,3.0
1738,Super built-up  Area,Cox Town,1600.0,3.0,150.0,3.0
1739,Super built-up  Area,Cox Town,1250.0,2.0,95.0,2.0
1740,Built-up  Area,Cox Town,1280.0,2.0,120.0,2.0
1741,Built-up  Area,Cox Town,1073.0,2.0,72.0,2.0
1742,Super built-up  Area,Cox Town,1000.0,2.0,58.0,2.0
1743,Super built-up  Area,Cox Town,1200.0,2.0,140.0,2.0
1744,Super built-up  Area,Cunningham Road,5270.0,4.0,1250.0,4.0
1745,Super built-up  Area,Cunningham Road,3875.0,3.0,864.0,3.0
1746,Super built-up  Area,Cunningham Road,3875.0,3.0,800.0,3.0
1747,Super built-up  Area,Cunningham Road,3815.0,3.0,763.0,3.0
1748,Super built-up  Area,Cunningham Road,2880.0,3.0,501.0,3.0
1749,Super built-up  Area,Cunningham Road,3489.0,3.0,662.0,3.0
1750,Super built-up  Area,Cunningham Road,4170.0,3.0,800.0,3.0
1752,Super built-up  Area,Cunningham Road,2700.0,3.0,501.0,3.0
1753,Plot  Area,Cunningham Road,7500.0,6.0,1800.0,4.0
1754,Super built-up  Area,Cunningham Road,2880.0,3.0,560.0,3.0
1755,Super built-up  Area,Dasanapura,708.0,2.0,37.0,2.0
1756,Super built-up  Area,Dasanapura,708.0,1.0,40.0,2.0
1757,Built-up  Area,Dasanapura,965.0,2.0,42.5,2.0
1759,Plot  Area,Dasanapura,1500.0,3.0,65.0,2.0
1760,Super built-up  Area,Dasanapura,814.0,2.0,42.0,2.0
1761,Built-up  Area,Dasanapura,1163.0,2.0,65.0,2.0
1762,Super built-up  Area,Dasanapura,1286.0,2.0,68.0,3.0
1763,Super built-up  Area,Dasanapura,708.0,2.0,31.15,2.0
1764,Super built-up  Area,Dasanapura,814.0,2.0,43.7,2.0
1765,Super built-up  Area,Dasarahalli,1295.0,2.0,65.0,2.0
1767,Built-up  Area,Dasarahalli,1150.0,2.0,70.0,2.0
1768,Super built-up  Area,Dasarahalli,2100.0,3.0,120.0,3.0
1769,Super built-up  Area,Dasarahalli,1220.0,2.0,52.0,2.0
1770,Super built-up  Area,Dasarahalli,1375.0,2.0,60.0,2.0
1771,Super built-up  Area,Dasarahalli,1333.0,2.0,78.56,2.0
1772,Super built-up  Area,Dasarahalli,1220.0,2.0,62.0,2.0
1773,Built-up  Area,Devanahalli,3210.0,2.0,192.0,4.0
1774,Super built-up  Area,Devanahalli,1260.0,2.0,66.78,2.0
1775,Super built-up  Area,Devanahalli,1282.0,2.0,68.52,3.0
1776,Super built-up  Area,Devanahalli,1360.0,2.0,65.0,2.0
1778,Super built-up  Area,Devanahalli,1408.0,2.0,85.0,2.0
1779,Super built-up  Area,Devanahalli,1010.0,2.0,51.0,2.0
1780,Super built-up  Area,Devanahalli,1080.0,2.0,53.35,2.0
1781,Plot  Area,Devanahalli,2400.0,5.0,100.0,5.0
1784,Super built-up  Area,Devanahalli,1174.0,2.0,59.0,2.0
1786,Super built-up  Area,Devanahalli,658.0,1.0,34.0,1.0
1787,Super built-up  Area,Devanahalli,658.0,1.0,26.91,1.0
1788,Super built-up  Area,Devanahalli,698.5,1.0,28.57,1.0
1789,Super built-up  Area,Devanahalli,1080.0,2.0,52.0,2.0
1790,Super built-up  Area,Devanahalli,1700.0,3.0,88.2,3.0
1791,Super built-up  Area,Devanahalli,1498.0,3.0,79.15,3.0
1792,Super built-up  Area,Devanahalli,1466.0,3.0,77.59,3.0
1793,Super built-up  Area,Devanahalli,775.0,1.0,39.0,1.0
1794,Super built-up  Area,Devanahalli,1020.0,2.0,49.87,1.0
1796,Super built-up  Area,Devanahalli,1550.0,3.0,85.0,3.0
1798,Super built-up  Area,Devanahalli,1340.0,2.0,65.0,2.0
1799,Built-up  Area,Devanahalli,2125.0,3.0,107.0,3.0
1802,Super built-up  Area,Devanahalli,658.0,1.0,26.91,1.0
1804,Built-up  Area,Devanahalli,1010.0,2.0,58.0,2.0
1807,Super built-up  Area,Devanahalli,1075.0,2.0,52.57,1.0
1809,Super built-up  Area,Devarachikkanahalli,1250.0,2.0,40.0,2.0
1810,Plot  Area,Devarachikkanahalli,1200.0,2.0,83.0,2.0
1811,Super built-up  Area,Devarachikkanahalli,1170.0,2.0,40.0,2.0
1812,Built-up  Area,Devarachikkanahalli,615.0,1.0,24.0,1.0
1813,Super built-up  Area,Devarachikkanahalli,1230.0,2.0,58.0,2.0
1814,Super built-up  Area,Devarachikkanahalli,1425.0,2.0,65.0,3.0
1815,Super built-up  Area,Devarachikkanahalli,947.0,2.0,43.0,2.0
1816,Super built-up  Area,Devarachikkanahalli,1130.0,2.0,36.0,2.0
1817,Super built-up  Area,Devarachikkanahalli,1417.0,2.0,76.0,3.0
1818,Super built-up  Area,Devarachikkanahalli,1230.0,2.0,58.0,2.0
1819,Super built-up  Area,Devarachikkanahalli,1705.0,3.0,75.0,3.0
1820,Built-up  Area,Devarachikkanahalli,1116.0,2.0,47.0,2.0
1821,Super built-up  Area,Devarachikkanahalli,991.0,2.0,40.0,2.0
1823,Built-up  Area,Dodda Nekkundi,1260.0,2.0,55.0,2.0
1824,Super built-up  Area,Dodda Nekkundi,850.0,2.0,28.0,2.0
1825,Super built-up  Area,Dodda Nekkundi,1390.0,2.0,60.0,2.0
1826,Super built-up  Area,Dodda Nekkundi,1804.0,3.0,121.0,3.0
1827,Super built-up  Area,Dodda Nekkundi,1080.0,2.0,50.0,2.0
1828,Super built-up  Area,Dodda Nekkundi,1999.0,3.0,132.0,3.0
1829,Super built-up  Area,Dodda Nekkundi,1100.0,2.0,48.0,2.0
1830,Super built-up  Area,Dodda Nekkundi,1999.0,3.0,135.0,3.0
1831,Super built-up  Area,Dodda Nekkundi,1100.0,2.0,41.15,2.0
1832,Super built-up  Area,Dodda Nekkundi,1252.0,2.0,71.0,3.0
1833,Super built-up  Area,Dodda Nekkundi,1155.0,2.0,46.0,2.0
1834,Super built-up  Area,Dodda Nekkundi,1128.0,2.0,45.0,2.0
1835,Super built-up  Area,Dodda Nekkundi,1148.0,2.0,56.0,2.0
1837,Built-up  Area,Dodda Nekkundi,1145.0,2.0,46.5,2.0
1838,Super built-up  Area,Dodda Nekkundi,1829.0,3.0,125.0,3.0
1839,Super built-up  Area,Dodda Nekkundi,1100.0,2.0,41.16,2.0
1840,Super built-up  Area,Dodda Nekkundi,1100.0,2.0,46.75,2.0
1841,Super built-up  Area,Dodda Nekkundi,1315.0,2.0,50.0,2.0
1842,Super built-up  Area,Dodda Nekkundi,1135.0,2.0,58.0,2.0
1843,Super built-up  Area,Dodda Nekkundi,1100.0,2.0,41.18,2.0
1844,Built-up  Area,Dodda Nekkundi,1370.0,2.0,60.0,2.0
1845,Super built-up  Area,Dodda Nekkundi,1200.0,2.0,71.0,2.0
1846,Super built-up  Area,Dodda Nekkundi,1585.0,2.0,79.0,3.0
1847,Built-up  Area,Dodda Nekkundi,1005.0,2.0,45.0,2.0
1848,Super built-up  Area,Dodda Nekkundi,1264.0,2.0,52.0,2.0
1849,Super built-up  Area,Doddaballapur,1690.0,3.0,80.0,4.0
1850,Plot  Area,Doddaballapur,4200.0,4.0,325.0,4.0
1851,Plot  Area,Doddaballapur,3876.0,3.0,300.0,3.0
1852,Plot  Area,Doddaballapur,2776.0,4.0,195.0,3.0
1853,Super built-up  Area,Doddaballapur,1100.0,2.0,48.0,3.0
1854,Plot  Area,Doddaballapur,2440.0,3.0,142.0,3.0
1855,Plot  Area,Doddaballapur,2400.0,3.0,200.0,4.0
1856,Super built-up  Area,Doddaballapur,654.0,1.0,49.0,1.0
1857,Plot  Area,Doddaballapur,3206.0,5.0,270.0,4.0
1858,Super built-up  Area,Doddakallasandra,1010.0,2.0,40.39,2.0
1863,Super built-up  Area,Doddakallasandra,1010.0,2.0,40.39,2.0
1864,Super built-up  Area,Doddakallasandra,1072.0,2.0,42.87,2.0
1865,Super built-up  Area,Doddakallasandra,1010.0,2.0,40.4,2.0
1866,Super built-up  Area,Doddakallasandra,1010.0,2.0,41.0,2.0
1867,Super built-up  Area,Doddakallasandra,1072.0,2.0,42.87,2.0
1868,Super built-up  Area,Doddathoguru,970.0,2.0,33.0,2.0
1869,Built-up  Area,Doddathoguru,1050.0,2.0,32.0,2.0
1870,Super built-up  Area,Doddathoguru,850.0,2.0,25.0,2.0
1871,Super built-up  Area,Doddathoguru,1030.0,2.0,42.0,2.0
1872,Super built-up  Area,Doddathoguru,1549.0,3.0,65.0,3.0
1874,Super built-up  Area,Doddathoguru,550.0,1.0,17.0,1.0
1875,Super built-up  Area,Doddathoguru,1015.0,2.0,33.5,2.0
1876,Super built-up  Area,Doddathoguru,1104.0,2.0,39.0,2.0
1877,Super built-up  Area,Doddathoguru,915.0,2.0,32.0,2.0
1878,Super built-up  Area,Doddathoguru,750.0,1.0,25.5,1.0
1879,Super built-up  Area,Doddathoguru,1595.0,3.0,62.0,3.0
1880,Super built-up  Area,Doddathoguru,855.0,2.0,32.0,2.0
1881,Super built-up  Area,Doddathoguru,1105.0,2.0,50.0,2.0
1882,Built-up  Area,Doddathoguru,925.0,2.0,30.0,2.0
1884,Built-up  Area,Doddathoguru,1208.0,3.0,45.0,3.0
1885,Built-up  Area,Doddathoguru,1100.0,2.0,50.0,2.0
1886,Super built-up  Area,Doddathoguru,940.0,2.0,32.9,2.0
1887,Super built-up  Area,Doddathoguru,1382.0,3.0,65.0,3.0
1888,Built-up  Area,Doddathoguru,1107.0,2.0,44.0,2.0
1889,Built-up  Area,Doddathoguru,907.0,2.0,40.0,2.0
1890,Super built-up  Area,Doddathoguru,1783.0,3.0,85.0,3.0
1891,Super built-up  Area,Doddathoguru,550.0,1.0,17.0,1.0
1892,Super built-up  Area,Domlur,1540.0,3.0,90.0,3.0
1893,Super built-up  Area,Domlur,1875.0,2.0,150.0,3.0
1894,Super built-up  Area,Domlur,1429.0,3.0,86.0,3.0
1895,Built-up  Area,Domlur,640.0,1.0,55.0,1.0
1896,Super built-up  Area,Domlur,1050.0,2.0,85.0,2.0
1897,Super built-up  Area,Domlur,1800.0,3.0,150.0,3.0
1898,Super built-up  Area,Domlur,1720.0,3.0,135.0,3.0
1899,Super built-up  Area,Domlur,1950.0,3.0,165.0,3.0
1900,Built-up  Area,Domlur,2180.0,3.0,285.0,3.0
1901,Super built-up  Area,Domlur,650.0,1.0,70.0,1.0
1902,Super built-up  Area,Domlur,780.0,1.0,70.0,1.0
1903,Super built-up  Area,Domlur,2180.0,3.0,285.0,3.0
1904,Super built-up  Area,Domlur,1740.0,3.0,120.0,3.0
1905,Built-up  Area,Domlur,1695.0,3.0,125.0,3.0
1906,Super built-up  Area,Domlur,1246.0,2.0,95.0,2.0
1907,Super built-up  Area,Domlur,2100.0,3.0,145.0,3.0
1908,Super built-up  Area,Domlur,1276.0,2.0,80.0,2.0
1909,Super built-up  Area,Domlur,1850.0,3.0,180.0,3.0
1910,Super built-up  Area,Domlur,2955.0,3.0,235.0,3.0
1911,Built-up  Area,Domlur,1650.0,3.0,180.0,3.0
1912,Super built-up  Area,Dommasandra,805.0,2.0,22.14,2.0
1914,Built-up  Area,Dommasandra,1267.0,3.0,56.0,3.0
1915,Super built-up  Area,Dommasandra,1200.0,2.0,50.0,2.0
1916,Built-up  Area,Dommasandra,2700.0,3.0,68.0,4.0
1918,Super built-up  Area,Dommasandra,1153.0,2.0,43.5,2.0
1919,Plot  Area,Dommasandra,1500.0,2.0,40.0,2.0
1920,Super built-up  Area,Dommasandra,1090.0,2.0,43.5,2.0
1921,Super built-up  Area,Dommasandra,850.0,2.0,25.4,2.0
1922,Super built-up  Area,Dommasandra,674.0,1.0,19.9,2.0
1923,Super built-up  Area,Dommasandra,999.0,2.0,32.9,2.0
1924,Super built-up  Area,EPIP Zone,1499.0,5.0,102.0,3.0
1925,Super built-up  Area,EPIP Zone,1285.0,2.0,82.0,2.0
1926,Super built-up  Area,EPIP Zone,2330.0,3.0,162.0,3.0
1927,Super built-up  Area,EPIP Zone,1330.0,2.0,92.5,2.0
1928,Super built-up  Area,EPIP Zone,1330.0,2.0,86.98,2.0
1929,Super built-up  Area,EPIP Zone,1330.0,2.0,93.36,2.0
1931,Super built-up  Area,EPIP Zone,1500.0,3.0,102.0,3.0
1932,Built-up  Area,EPIP Zone,1280.0,2.0,69.0,2.0
1933,Built-up  Area,EPIP Zone,1125.0,2.0,65.0,2.0
1934,Super built-up  Area,EPIP Zone,1734.0,3.0,125.0,3.0
1936,Super built-up  Area,EPIP Zone,1343.0,2.0,86.0,2.0
1937,Super built-up  Area,EPIP Zone,2350.0,4.0,163.0,3.0
1938,Super built-up  Area,EPIP Zone,1860.0,3.0,130.0,3.0
1939,Super built-up  Area,EPIP Zone,2210.0,3.0,165.0,3.0
1940,Super built-up  Area,EPIP Zone,2710.0,3.0,177.0,3.0
1943,Super built-up  Area,Electronic City,1025.0,2.0,47.0,3.0
1946,Super built-up  Area,Electronic City,1500.0,2.0,64.5,3.0
1947,Built-up  Area,Electronic City,1060.0,2.0,60.0,2.0
1948,Super built-up  Area,Electronic City,1152.0,2.0,64.5,2.0
1950,Built-up  Area,Electronic City,770.0,1.0,36.0,2.0
1951,Super built-up  Area,Electronic City,1070.0,2.0,52.0,2.0
1952,Built-up  Area,Electronic City,1025.0,2.0,46.0,2.0
1953,Super built-up  Area,Electronic City,589.0,1.0,27.0,1.0
1955,Super built-up  Area,Electronic City,910.0,2.0,40.0,2.0
1956,Super built-up  Area,Electronic City,1108.0,2.0,63.0,2.0
1957,Super built-up  Area,Electronic City,1128.0,2.0,65.0,2.0
1958,Super built-up  Area,Electronic City,1800.0,3.0,95.0,3.0
1959,Built-up  Area,Electronic City,630.0,1.0,34.65,1.0
1960,Super built-up  Area,Electronic City,1128.0,2.0,63.0,2.0
1961,Super built-up  Area,Electronic City,1599.0,3.0,99.0,3.0
1964,Super built-up  Area,Electronic City,1070.0,2.0,55.0,2.0
1965,Super built-up  Area,Electronic City,940.0,2.0,41.0,2.0
1967,Super built-up  Area,Electronic City,1128.0,2.0,68.75,2.0
1968,Super built-up  Area,Electronic City,1342.0,2.0,73.3,2.0
1969,Super built-up  Area,Electronic City,1360.0,2.0,71.0,3.0
1971,Super built-up  Area,Electronic City,1265.0,2.0,56.93,2.0
1972,Super built-up  Area,Electronic City,1691.0,2.0,102.0,3.0
1973,Super built-up  Area,Electronic City,1128.0,2.0,65.49,2.0
1977,Super built-up  Area,Electronic City,1070.0,2.0,56.1,2.0
1978,Plot  Area,Electronic City,2000.0,4.0,120.0,4.0
1979,Built-up  Area,Electronic City,890.0,2.0,45.0,2.0
1980,Super built-up  Area,Electronic City,1128.0,2.0,65.65,2.0
1981,Built-up  Area,Electronic City,865.0,2.0,42.0,2.0
1983,Super built-up  Area,Electronic City,910.0,2.0,42.0,2.0
1985,Built-up  Area,Electronic City,1360.0,2.0,75.0,3.0
1986,Super built-up  Area,Electronic City,770.0,1.0,40.0,2.0
1987,Super built-up  Area,Electronic City,1128.0,2.0,64.0,2.0
1988,Super built-up  Area,Electronic City,1070.0,2.0,54.0,2.0
1991,Super built-up  Area,Electronic City,1571.0,3.0,89.0,3.0
1992,Super built-up  Area,Electronic City,1111.0,3.0,50.0,3.0
1993,Super built-up  Area,Electronic City,870.0,2.0,39.5,2.0
1995,Super built-up  Area,Electronic City,1374.0,2.0,72.0,3.0
1997,Super built-up  Area,Electronic City,1128.0,2.0,65.35,2.0
1998,Super built-up  Area,Electronic City,1128.0,2.0,65.0,2.0
1999,Super built-up  Area,Electronic City,755.0,1.0,34.0,2.0
2003,Super built-up  Area,Electronic City,1563.0,3.0,91.84,3.0
2004,Super built-up  Area,Electronic City,1652.0,3.0,70.0,3.0
2006,Super built-up  Area,Electronic City,1025.0,2.0,54.5,2.0
2008,Super built-up  Area,Electronic City,1350.0,3.0,58.0,3.0
2011,Super built-up  Area,Electronic City,1700.0,3.0,75.0,3.0
2013,Super built-up  Area,Electronic City,1128.0,2.0,68.0,2.0
2014,Built-up  Area,Electronic City,700.0,1.0,35.0,1.0
2015,Super built-up  Area,Electronic City,1360.0,2.0,70.5,3.0
2017,Super built-up  Area,Electronic City,1571.0,3.0,105.0,3.0
2021,Built-up  Area,Electronic City,1600.0,3.0,104.0,3.0
2024,Built-up  Area,Electronic City,1500.0,2.0,100.0,3.0
2028,Super built-up  Area,Electronic City,1152.0,2.0,65.0,2.0
2029,Super built-up  Area,Electronic City,1070.0,2.0,60.0,2.0
2030,Super built-up  Area,Electronic City,1128.0,2.0,65.5,2.0
2031,Super built-up  Area,Electronic City,1200.0,2.0,59.0,2.0
2032,Super built-up  Area,Electronic City,1152.0,2.0,65.75,2.0
2034,Super built-up  Area,Electronic City,1070.0,2.0,55.0,2.0
2035,Super built-up  Area,Electronic City,1060.0,2.0,58.0,2.0
2036,Super built-up  Area,Electronic City,1025.0,2.0,54.1,2.0
2041,Super built-up  Area,Electronic City,1500.0,2.0,78.0,3.0
2042,Super built-up  Area,Electronic City,1213.0,2.0,59.32,2.0
2043,Super built-up  Area,Electronic City,1575.0,3.0,90.0,3.0
2044,Built-up  Area,Electronic City,435.0,1.0,19.5,1.0
2045,Built-up  Area,Electronic City,1449.0,3.0,100.0,3.0
2047,Super built-up  Area,Electronic City,1125.0,2.0,58.0,2.0
2049,Super built-up  Area,Electronic City,1575.0,3.0,101.0,3.0
2051,Built-up  Area,Electronic City,550.0,1.0,12.0,1.0
2052,Super built-up  Area,Electronic City,919.0,2.0,40.0,2.0
2053,Super built-up  Area,Electronic City,1500.0,2.0,78.25,3.0
2054,Super built-up  Area,Electronic City,1363.0,2.0,79.0,2.0
2057,Super built-up  Area,Electronic City,1108.0,2.0,67.15,2.0
2059,Super built-up  Area,Electronic City,1128.0,2.0,65.7,2.0
2061,Built-up  Area,Electronic City,1060.0,2.0,51.0,2.0
2063,Built-up  Area,Electronic City,1650.0,3.0,100.0,3.0
2065,Super built-up  Area,Electronic City,1025.0,2.0,49.0,2.0
2067,Super built-up  Area,Electronic City,1449.0,3.0,90.0,3.0
2069,Super built-up  Area,Electronic City,1070.0,2.0,58.0,2.0
2070,Super built-up  Area,Electronic City,1210.0,2.0,54.0,2.0
2071,Built-up  Area,Electronic City,1500.0,2.0,75.0,3.0
2073,Super built-up  Area,Electronic City,1070.0,2.0,52.0,2.0
2074,Super built-up  Area,Electronic City,2435.0,4.0,119.0,4.0
2079,Super built-up  Area,Electronic City,1073.0,2.0,60.0,2.0
2080,Super built-up  Area,Electronic City,1500.0,2.0,78.0,3.0
2081,Super built-up  Area,Electronic City,1070.0,2.0,47.0,2.0
2082,Super built-up  Area,Electronic City,1296.0,2.0,65.0,2.0
2083,Super built-up  Area,Electronic City,1140.0,2.0,70.93,2.0
2089,Super built-up  Area,Electronic City,2093.0,4.0,104.0,4.0
2090,Super built-up  Area,Electronic City,1025.0,2.0,53.9,2.0
2091,Built-up  Area,Electronic City,940.0,2.0,54.0,2.0
2092,Super built-up  Area,Electronic City,435.0,1.0,21.0,1.0
2093,Super built-up  Area,Electronic City,1500.0,2.0,77.5,3.0
